Bin,Article Name,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References
Featured,ARA_Moreno,2,8,78,1943,38
Featured,Hippopotamus,23,8,237,5026,100
Featured,Lung_cancer,22,12,296,5550,179
Featured,Poetry,25,7,282,7219,152
Featured,Cave_Story,5,8,123,2753,64
Featured,Buckingham_Palace,16,7,200,4822,105
Featured,Vampire,12,7,336,8793,169
Featured,American_Airlines_Flight_11,10,5,125,2650,67
Featured,City_of_Angels_(Thirty_Seconds_to_Mars_song),5,12,177,3944,99
Featured,Bring_Us_Together,10,5,91,2237,36
Featured,Sun,30,16,366,9711,201
Featured,Ethan_Hawke,6,7,205,4793,164
Featured,U.S._Route_491,15,6,124,2470,37
Featured,Ashford_v_Thornton,6,6,179,4324,51
Featured,OpenBSD,11,15,122,3409,81
Featured,Martin_Brodeur,8,11,176,5176,71
Featured,Roxy_Ann_Peak,10,8,92,2156,58
Featured,Last_of_the_Summer_Wine,4,10,254,6163,132
Featured,George_Robey,14,5,389,9617,221
Featured,Castlevania:_Aria_of_Sorrow,3,7,146,3489,61
Featured,Kaiser-class_battleship,8,6,163,3548,42
Featured,"Ross_Perot_presidential_campaign,_1992",5,7,231,5528,121
Featured,Brabham_BT19,7,9,118,3182,40
Featured,Laura_Secord,11,8,176,3745,100
Featured,"Ed,_Edd_n_Eddy",7,9,140,3824,95
Featured,York_City_F.C.,18,10,178,4485,192
Featured,Empires:_Dawn_of_the_Modern_World,2,5,76,1739,27
Featured,Francis_Poulenc,15,6,328,8369,196
Featured,Red_rail,13,6,109,2886,25
Featured,Rotavirus,12,12,151,3456,126
Featured,History_of_Solidarity,13,10,214,5230,63
Featured,Rani_Mukerji,9,8,242,5926,161
Featured,Blakeney_Chapel,8,9,109,2782,34
Featured,Elias_Abraham_Rosenberg,3,8,73,1696,31
Featured,Art_Houtteman,3,7,152,3426,42
Featured,Battle_of_Savo_Island,10,8,231,5984,31
Featured,"George_Andrew_Davis,_Jr.",48,6,247,5652,39
Featured,Enta_da_Stage,1,11,85,2082,23
Featured,"Joaquim_Jos%C3%A9_In%C3%A1cio,_Viscount_of_Inha%C3%BAma",12,10,238,5280,174
Featured,A_Child_of_Our_Time,6,9,191,4749,69
Featured,Dawson_Creek,12,11,147,3498,54
Featured,Tech_Tower,15,7,110,2782,61
Featured,Akutan_Zero,10,8,140,3164,48
Featured,Francis_Harvey,6,6,71,2047,23
Featured,Proserpine_(play),6,10,108,2596,52
Featured,Princess_Beatrice_of_the_United_Kingdom,17,12,203,4845,95
Featured,Cleveland_Bay,8,6,103,2589,36
Featured,Triton_(moon),21,12,161,3709,74
Featured,SMS_Westfalen,5,4,134,3116,51
Featured,Michael_Hordern,17,6,365,9440,215
Featured,George_Hirst,6,10,352,8027,130
Featured,The_Last_Temptation_of_Krust,4,8,70,1774,30
Featured,Dmitri_Shostakovich,30,10,279,7089,108
Featured,Ed_Stelmach,8,7,229,6450,124
Featured,Interstate_70_in_Utah,14,6,171,3586,40
Featured,Minnesota,35,17,313,7852,151
Featured,Stan_Coveleski,6,9,122,2784,39
Featured,Astonishing_Stories,0,7,90,2539,42
Featured,Atlantic_puffin,19,9,302,6911,86
Featured,Charles_Villiers_Stanford,10,7,287,6878,168
Featured,Guy_Fawkes,8,5,143,3538,78
Featured,Norma_(constellation),4,5,92,1978,48
Featured,Kingdom_of_Mysore,25,10,323,7918,175
Featured,Nico_Ditch,3,6,33,806,16
Featured,Grace_Sherwood,6,7,131,3092,68
Featured,John_Adair,9,12,197,4821,71
Featured,Metroid_Prime_2:_Echoes,3,7,121,2960,59
Featured,Toronto_Magnetic_and_Meteorological_Observatory,6,6,70,1872,22
Featured,Tropical_Storm_Allison,12,7,195,3915,78
Featured,Johann_von_Klenau,13,6,322,8195,106
Featured,%C3%86thelstan,11,12,343,8800,175
Featured,Flow_(video_game),3,6,79,1943,26
Featured,Artur_Phleps,10,10,100,2819,56
Featured,BioShock,7,8,265,7790,186
Featured,Glynn_Lunney,5,10,111,2979,43
Featured,"Forest_Park_(Portland,_Oregon)",9,10,143,3562,58
Featured,Leningrad_premi%C3%A8re_of_Shostakovich%27s_Symphony_No._7,3,6,114,2364,43
Featured,Battle_of_Musa_Qala,6,7,115,2894,54
Featured,Persoonia_lanceolata,4,7,76,1616,21
Featured,SMS_Seydlitz,13,6,332,7713,87
Featured,"%C3%86thelred,_Lord_of_the_Mercians",5,9,105,2901,61
Featured,Flag_of_Armenia,22,7,70,1580,19
Featured,Axis_naval_activity_in_Australian_waters,20,9,267,6872,114
Featured,Antbird,10,8,179,4010,38
Featured,Golden_Sun,3,6,98,2604,60
Featured,Photon,10,20,237,6783,115
Featured,Richie_Farmer,6,9,423,11995,265
Featured,Crawford_expedition,10,11,253,5264,111
Featured,Ealdred_(archbishop_of_York),4,12,153,3706,89
Featured,Halkett_boat,6,5,46,1518,16
Featured,Japanese_aircraft_carrier_Shinano,4,7,156,3868,38
Featured,Kinzua_Bridge,11,9,111,2702,46
Featured,The_Time_Traveler%27s_Wife,4,10,149,3250,47
Featured,Wail_al-Shehri,2,6,104,2337,45
Featured,Phil_Hartman,3,8,218,4878,78
Featured,Battle_of_the_Alamo,12,12,339,6841,184
Featured,Charles_Villiers_Stanford,10,7,287,6878,168
Featured,Great_auk,20,9,224,5040,91
Featured,Baron_Munchausen,15,8,169,4959,129
Featured,Degrassi:_The_Next_Generation,4,8,259,7113,175
Featured,Polish_culture_during_World_War_II,18,10,290,7085,134
Featured,Kinzua_Bridge,11,9,111,2702,46
Featured,Backmasking,6,6,225,5752,104
Featured,Augustus_Owsley_Stanley,6,6,150,2879,41
Featured,Psilocybin,17,14,297,8019,178
Featured,McKinley_Birthplace_Memorial_dollar,8,5,85,2001,34
Featured,Surtsey,13,6,124,2901,34
Featured,Wintjiya_Napaltjarri,2,6,60,1542,29
Featured,Wii_Sports,7,7,145,3120,94
Featured,History_of_the_Australian_Capital_Territory,17,13,312,8160,220
Featured,No_Depression_(album),1,7,55,1316,31
Featured,Malcolm_X,23,17,327,7792,307
Featured,These_Are_the_Voyages...,4,6,108,2735,35
Featured,The_Thrill_Book,4,7,96,2977,41
Featured,"Charing_Cross,_Euston_and_Hampstead_Railway",62,7,161,4619,112
Featured,Makinti_Napanangka,2,8,58,1753,53
Featured,Meerkat_Manor,4,6,110,2804,52
Featured,Electra_Heart,2,13,123,3261,105
Featured,British_Empire,31,11,357,10366,240
Featured,Little_Miss_Sunshine,11,10,179,4500,91
Featured,Balch_Creek,9,8,115,2707,38
Featured,Governor_of_Kentucky,9,9,208,5602,101
Featured,Big_Bang,23,14,258,7364,138
Featured,Howie_Morenz,5,9,147,3424,53
Featured,Ant,28,11,393,8203,186
Featured,Symphonic_poems_(Liszt),9,14,203,5186,86
Featured,Aries_(constellation),6,4,225,4087,62
Featured,History_of_American_football,25,11,508,12355,167
Featured,Manchester_United_F.C.,62,14,225,6424,214
Featured,Handel%27s_lost_Hamburg_operas,6,4,150,4001,64
Featured,Eremoryzomys,2,6,68,1723,34
Featured,Ranavalona_III,20,10,165,4318,36
Featured,Somerset_Levels,18,13,283,7208,171
Featured,Wonder_Stories,4,6,207,4996,87
Featured,Lincoln_cent,24,8,182,4490,87
Featured,Three_Studies_for_Figures_at_the_Base_of_a_Crucifixion,6,7,130,3357,56
Featured,1952_Winter_Olympics,13,12,171,3691,86
Featured,"%C3%86thelred,_Lord_of_the_Mercians",5,9,105,2901,61
Featured,Muhammad_ibn_Tughj_al-Ikhshid,4,8,164,4723,62
Featured,Halo_Wars,7,9,264,5888,116
Featured,Surtsey,13,6,124,2901,34
Featured,Serpens,12,5,215,5164,152
Featured,Macaroni_penguin,10,6,115,2707,49
Featured,Same-sex_marriage_in_Spain,6,10,126,3924,106
Featured,Abuwtiyuw,4,7,33,948,26
Featured,Denbies,5,6,132,3606,75
Featured,Forksville_Covered_Bridge,7,7,82,2088,30
Featured,Frank%27s_Cock,6,10,65,1810,33
Featured,Liberty_Head_double_eagle,9,6,200,4589,86
Featured,Black_Francis,4,8,165,4339,94
Featured,Asser,2,11,136,3607,24
Featured,"U.S._Route_41_Business_(Marquette,_Michigan)",8,7,68,1219,36
Featured,Hurricane_Kiko_(1989),5,5,62,1356,36
Featured,Peking_opera,11,12,384,7232,88
Featured,Abuwtiyuw,4,7,33,948,26
Featured,Greek_mythology,25,8,308,7995,109
Featured,Persoonia_lanceolata,4,7,76,1616,21
Featured,Bert_Trautmann,5,19,161,4024,77
Featured,Hurricane_Kate_(1985),5,7,139,2819,45
Featured,Demosthenes,25,11,367,9075,189
Featured,Daisy_Jugadai_Napaltjarri,2,3,56,1470,28
Featured,Kinetoscope,13,7,192,5623,90
Featured,Triceratops,28,9,203,5402,105
Featured,Dromaeosauroides,8,7,93,2129,16
Featured,Banksia_scabrella,4,7,74,1449,18
Featured,Fr%C3%A9d%C3%A9ric_Chopin,26,6,430,9651,205
Featured,History_of_the_National_Hockey_League_(1917%E2%80%9342),12,11,267,5834,104
Featured,Gwoyeu_Romatzyh,2,10,75,1811,53
Featured,Stonewall_riots,12,8,444,10519,192
Featured,Sgt._Pepper%27s_Lonely_Hearts_Club_Band,6,17,480,10756,413
Featured,Georg_Forster,8,12,144,3786,62
Featured,The_Political_Cesspool,6,8,119,3094,71
Featured,Weight_Gain_4000,2,7,123,3180,32
Featured,Raymond_Brownell,6,8,110,2215,27
Featured,LSWR_N15_class,4,10,275,5387,70
Featured,The_Boat_Race_2003,7,6,72,1790,50
Featured,Kelpie,3,7,85,2796,59
Featured,Baby_Boy_(Beyonc%C3%A9_song),5,11,114,2617,130
Featured,Venus,30,10,255,6087,160
Featured,Stanley_Green,7,6,50,1135,14
Featured,Mothers_of_the_Disappeared,2,8,138,3477,61
Featured,Battle_of_Labuan,12,5,230,5385,80
Featured,Portrait_of_Monsieur_Bertin,13,6,148,3025,51
Featured,National_emblem_of_Belarus,23,5,68,1680,13
Featured,Delichon,7,8,88,2125,44
Featured,Cogan_House_Covered_Bridge,11,7,118,2917,28
Featured,Humpback_whale,31,12,220,4850,133
Featured,War_against_Nabis,6,9,144,3375,46
Featured,Major_depressive_disorder,6,13,406,10168,317
Featured,Chester_A._Arthur,28,12,347,9235,198
Featured,Homer_Davenport,24,11,283,6911,127
Featured,Singapore_strategy,15,9,273,6489,117
Featured,Augustus_Owsley_Stanley,6,6,150,2879,41
Featured,Barack_Obama,42,8,394,11187,564
Featured,Thomasomys_ucucha,1,6,65,1379,17
Featured,Elderly_Instruments,5,10,99,2248,29
Featured,Rings_of_Jupiter,11,10,172,3907,43
Featured,Australian_raven,8,8,209,4604,59
Featured,Song_of_Innocence,4,13,96,2398,54
Featured,Isopogon_anethifolius,7,6,78,1411,31
Featured,Tomb_of_Antipope_John_XXIII,9,7,120,3670,91
Featured,Enid_Blyton,9,16,281,8530,169
Featured,Stark_Raving_Dad,8,7,139,3188,45
Featured,Lead(II)_nitrate,6,9,55,1564,30
Featured,Jefferson_nickel,8,4,100,2238,34
Featured,Jimi_Hendrix,15,17,523,12520,417
Featured,Tamil_language,22,16,201,4774,136
Featured,Tech_Tower,15,7,110,2782,61
Featured,Masked_shrike,5,8,105,2207,27
Featured,Cat%27s_Eye_Nebula,4,10,69,1638,26
Featured,Myst_III:_Exile,3,6,83,2161,31
Featured,Madonna_in_the_Church,11,7,185,4973,63
Featured,Too_Much_Too_Soon_(album),4,12,103,2789,58
Featured,Sam_Loxton_with_the_Australian_cricket_team_in_England_in_1948,2,12,258,5761,101
Featured,Washington_quarter,11,6,156,3866,60
Featured,House_with_Chimaeras,11,6,86,2186,32
Featured,Halo_3:_ODST,10,7,243,5669,132
Featured,2008_Monaco_Grand_Prix,17,5,129,3333,47
Featured,Grey_Cup,11,10,233,5705,130
Featured,Aylesbury_duck,5,8,142,3778,53
Featured,Entoloma_sinuatum,6,7,100,2099,54
Featured,Ray_Emery,4,8,111,2775,65
Featured,Flame_robin,4,6,142,3095,44
Featured,Sair_Tjerita_Siti_Akbari,4,9,110,2596,53
Featured,Ganesha,23,10,291,6204,299
Featured,2013_Rosario_gas_explosion,4,6,80,1623,68
Featured,Callisto_(moon),16,11,175,4135,71
Featured,Tau_Ceti,3,8,119,2829,63
Featured,The_Boat_Race_2003,7,6,72,1790,50
Featured,Subarachnoid_hemorrhage,6,10,199,4704,69
Featured,"Waterfall_Gully,_South_Australia",12,9,127,3405,54
Featured,Peter_Evans_(swimmer),1,9,138,3153,22
Featured,South_Carolina-class_battleship,10,11,131,3655,59
Featured,Inner_German_border,53,15,494,11752,190
Featured,Opisthocoelicaudia,14,7,132,3014,35
Featured,Manchester_United_F.C.,62,14,225,6424,214
Featured,Internationalist_(album),2,10,83,2108,36
Featured,Enid_Blyton,9,16,281,8530,169
Featured,Royal_baccarat_scandal,13,7,253,7075,164
Featured,Francis_Tresham,4,6,94,2448,46
Featured,Battle_of_Morotai,9,8,201,4649,71
Featured,Alben_W._Barkley,19,10,388,9449,185
Featured,Fungus,26,16,333,8400,241
Featured,Pedro_II_of_Brazil,31,14,375,8150,511
Featured,Rock_Steady_(album),2,11,102,2563,75
Featured,The_Story_of_Miss_Moppet,10,8,118,2978,61
Featured,SMS_Goeben,12,4,207,4755,80
Featured,James_B._Longacre,18,6,187,5136,68
Featured,What%27d_I_Say,1,7,120,2984,39
Featured,Nicolo_Giraud,4,3,87,2523,43
Featured,J._C._W._Beckham,5,7,157,3001,42
Featured,Japanese_battleship_Musashi,10,8,160,3693,47
Featured,Scottish_Parliament_Building,17,11,253,6946,92
Featured,England_national_football_team_manager,7,7,188,4875,146
Featured,Andr%C3%A9_Kert%C3%A9sz,6,8,165,3591,40
Featured,Brunette_Coleman,5,7,165,4383,64
Featured,Hugh_Walpole,15,6,285,6981,153
Featured,Robert_Hues,7,7,84,2462,44
Featured,Jin%E2%80%93Song_Wars,18,6,461,9496,182
Featured,Sega_CD,15,7,141,3827,49
Featured,Polish_culture_during_World_War_II,18,10,290,7085,134
Featured,Steve_Lukather,3,6,186,4283,59
Featured,Primate,36,12,327,7554,195
Featured,Alfred_Russel_Wallace,19,11,386,10867,177
Featured,Menominee_Tribe_v._United_States,5,6,124,3101,79
Featured,Scotland_in_the_High_Middle_Ages,25,17,311,8222,188
Featured,Eurasian_tree_sparrow,15,8,126,3422,79
Featured,History_of_the_New_York_Jets,19,9,500,11093,233
Featured,The_Disasters_of_War,35,12,227,5517,93
Featured,Yao_Ming,12,9,177,4381,164
Featured,Makinti_Napanangka,2,8,58,1753,53
Featured,Battle_of_Agua_Dulce,3,8,107,2139,49
Featured,Simon_Bolivar_Buckner,12,11,259,5301,88
Featured,Hermann_Detzner,7,10,140,3860,70
Featured,Assata_Shakur,11,13,338,10229,232
Featured,George_H._D._Gossip,108,9,174,4323,136
Featured,Thorpe_affair,4,7,299,7471,167
Featured,Science_Fiction_Quarterly,3,7,75,1908,31
Featured,Capon_Chapel,15,8,110,2820,33
Featured,Japanese_battleship_Nagato,15,8,217,5049,53
Featured,Reg_Saunders,5,8,106,2569,69
Featured,Halo_(Beyonc%C3%A9_song),6,15,227,5066,236
Featured,Samlesbury_witches,4,7,84,2687,51
Featured,Finnish_Civil_War,22,8,500,12779,116
Featured,Battle_of_Barnet,18,10,240,5101,113
Featured,Dermotherium,2,4,91,2107,38
Featured,Ailanthus_altissima,12,10,231,5232,61
Featured,Everglades_National_Park,79,10,332,7847,129
Featured,A_Vindication_of_the_Rights_of_Men,10,10,160,5000,79
Featured,Jean-Joseph_Rabearivelo,5,7,100,2693,16
Featured,Charles-Valentin_Alkan,18,8,297,6811,180
Featured,Lives_of_the_Most_Eminent_Literary_and_Scientific_Men,4,8,171,4564,88
Featured,Creek_Turnpike,8,7,243,5945,103
Featured,Journey_(2012_video_game),3,6,139,3658,59
Featured,1896_Summer_Olympics,20,13,179,3979,58
Featured,Battle_of_Ramillies,15,8,213,6380,87
Featured,North_by_North_Quahog,4,6,115,3024,53
Featured,The_Way_I_See_It,5,14,229,5541,125
Featured,Art_Houtteman,3,7,152,3426,42
Featured,Franz_Kafka,16,7,346,8208,251
Featured,Japanese_aircraft_carrier_Akagi,14,9,268,6547,112
Featured,Icos,6,5,102,2622,68
Featured,Silverchair,6,7,219,4857,116
Featured,Derfflinger-class_battlecruiser,9,5,186,3980,26
Featured,Horatio_Bottomley,8,4,237,6179,153
Featured,Myst_III:_Exile,3,6,83,2161,31
Featured,Henry_Edwards_(entomologist),6,7,143,3637,51
Featured,1923_FA_Cup_Final,7,7,125,3191,52
Featured,Dreadnought,24,9,449,10699,160
Featured,Frigatebird,13,10,165,3631,70
Featured,Gliding,17,14,220,4869,82
Featured,Enid_Blyton,9,16,281,8530,169
Featured,Sonestown_Covered_Bridge,9,7,102,2460,41
Featured,Babe_Ruth,28,11,628,15047,227
Featured,Lockheed_C-130_Hercules_in_Australian_service,8,3,252,5449,116
Featured,Kronan_(ship),17,13,272,6581,70
Featured,Carousel_(musical),12,10,384,8507,119
Featured,Madagascar,40,13,414,10396,169
Featured,Audioslave,3,8,203,4986,114
Featured,Green_and_golden_bell_frog,8,8,249,5497,52
Featured,Idlewild_and_Soak_Zone,7,6,150,3292,44
Featured,Western_Chalukya_Empire,15,7,236,6057,165
Featured,John_Francis_Jackson,6,6,115,2314,53
Featured,M-553_(Michigan_highway),12,9,125,3031,66
Featured,Great_Lakes_Storm_of_1913,16,9,93,2302,31
Featured,Tintin_in_Tibet,8,6,144,3781,100
Featured,History_of_Arsenal_F.C._(1886%E2%80%931966),10,8,122,4600,67
Featured,Jordan_River_(Utah),11,10,187,4790,111
Featured,The_Boat_Races_2015,30,9,134,3598,55
Featured,Love._Angel._Music._Baby.,5,12,205,3173,164
Featured,Hanford_Site,26,14,196,4811,104
Featured,Battle_of_the_Eastern_Solomons,9,7,124,3424,61
Featured,2007_Atlantic_hurricane_season,36,9,233,5013,91
Featured,Japanese_battleship_Asahi,6,7,116,2811,31
Featured,Simeon_I_of_Bulgaria,10,9,146,3985,124
Featured,Deathrow_(video_game),6,4,136,2838,34
Featured,Maurice_Ravel,13,5,366,8699,273
Featured,Blakeney_Chapel,8,9,109,2782,34
Featured,Three-cent_silver,7,9,128,3499,45
Featured,"Boden_Professor_of_Sanskrit_election,_1860",4,8,212,6127,85
Featured,"Youngstown,_Ohio",16,18,275,6706,141
Featured,Meteorological_history_of_Hurricane_Dean,5,6,68,1706,51
Featured,Rani_Mukerji,9,8,242,5926,161
Featured,William_Wurtenburg,6,6,93,1941,51
Featured,Operation_Brevity,8,9,132,3461,70
Featured,Australian_raven,8,8,209,4604,59
Featured,"Gilbert_du_Motier,_Marquis_de_Lafayette",47,18,491,11091,207
Featured,The_Simpsons_Movie,11,9,268,6709,134
Featured,Interstate_696,11,7,93,2094,37
Featured,Robert_de_Chesney,2,10,105,2801,55
Featured,Warren_G._Harding,37,11,653,14922,260
Featured,Grand_Teton_National_Park,85,9,387,10163,166
Featured,"Stephens_City,_Virginia",9,12,156,3434,92
Featured,Turok:_Dinosaur_Hunter,4,6,108,2562,52
Featured,Goodbyeee,8,8,71,2280,34
Featured,D%C3%BCrer%27s_Rhinoceros,12,7,88,2386,49
Featured,Ruby_Laffoon,3,7,186,3845,66
Featured,The_Stolen_Earth,7,5,288,9080,125
Featured,Myst_V:_End_of_Ages,1,6,112,2778,46
Featured,Liberty_Head_nickel,9,9,107,2560,42
Featured,Hurricane_Bret_(1999),8,7,109,2103,44
Featured,Golden_Sun,3,6,98,2604,60
Featured,Darjeeling,21,16,185,4002,75
Featured,"M-28_Business_(Ishpeming%E2%80%93Negaunee,_Michigan)",9,7,82,1245,33
Featured,Fr%C3%A9d%C3%A9ric_Chopin,26,6,430,9651,205
Featured,Battle_of_the_Bismarck_Sea,9,10,233,5200,75
Featured,Sack_of_Amorium,5,9,148,4251,60
Featured,The_Entombment_(Bouts),9,5,108,2747,36
Featured,Homer%27s_Phobia,4,6,90,2256,33
Featured,B_movie,12,5,406,10608,179
Featured,Action_of_13_January_1797,5,7,131,3757,43
Featured,Tropical_cyclone,25,18,424,10734,200
Featured,Aston_Villa_F.C.,17,14,180,4406,94
Featured,Hector_Waller,7,6,94,2328,60
Featured,Rongorongo,83,11,181,5155,80
Featured,Uncle_Tupelo,3,7,143,3553,74
Featured,Hurricane_Hattie,6,7,116,2464,30
Featured,Anthony_Roll,8,9,119,3299,31
Featured,Arthur_Morris,3,13,347,8016,140
Featured,Maya_(M.I.A._album),4,12,174,3606,154
Featured,Mayan_languages,16,12,260,6209,119
Featured,Laura_Secord,11,8,176,3745,100
Featured,Mothers_of_the_Disappeared,2,8,138,3477,61
Featured,Damageplan,3,6,86,1838,26
Featured,Tropical_Storm_Alberto_(2006),8,6,100,2214,44
Featured,William_Bostock,6,6,135,3263,57
Featured,Emma_Watson,7,11,149,3555,137
Featured,Angel_of_Death_(Slayer_song),1,7,63,1570,33
Featured,Mozart_in_Italy,13,10,208,4987,94
Featured,Fantastic_Universe,1,6,65,1521,14
Featured,Lie_Kim_Hok,11,8,157,3322,75
Featured,Cortana_(Halo),7,5,127,3392,65
Featured,Great_Eastern_Highway,16,8,195,4705,80
Featured,Japanese_aircraft_carrier_Shinano,4,7,156,3868,38
Featured,Planet,80,11,268,7717,151
Featured,Cousin_Bette,14,11,334,7073,119
Featured,Prosperity_theology,10,9,175,4305,87
Featured,Thomas_Playford_IV,10,13,421,10634,215
Featured,Maynard_James_Keenan,7,10,232,5326,129
Featured,Byzantine_civil_war_of_1341%E2%80%9347,8,10,261,6434,113
Featured,History_of_Lithuania_(1219%E2%80%9395),11,6,172,3507,26
Featured,Metacomet_Ridge,17,10,140,3993,45
Featured,Swedish_language,11,14,228,5937,58
Featured,The_Hunger_Games_(novel),5,9,120,3294,73
Featured,American_Airlines_Flight_77,16,8,243,5361,117
Featured,Tasha_Yar,5,7,105,2556,41
Featured,Amphetamine,17,12,264,6563,274
Featured,Order_of_the_Bath,108,11,184,5476,110
Featured,Alec_Douglas-Home,15,8,389,9837,205
Featured,Anti-tobacco_movement_in_Nazi_Germany,3,11,127,2747,49
Featured,Norwich_City_F.C.,14,17,165,4713,114
Featured,2012_phenomenon,11,11,277,7790,192
Featured,William_Barley,2,6,102,2142,35
Featured,Japanese_battleship_Nagato,15,8,217,5049,53
Featured,Adore_(The_Smashing_Pumpkins_album),4,8,98,2461,91
Featured,Stede_Bonnet,6,10,179,4067,82
Featured,Pisco_sour,12,9,113,2866,74
Featured,Red-tailed_black_cockatoo,20,11,105,2405,76
Featured,Michael_Tippett,10,7,393,9965,197
Featured,Oil_shale,10,13,148,3735,92
Featured,Cyclone_Gonu,7,7,123,2765,69
Featured,Sega_v._Accolade,6,7,93,2815,20
Featured,Ace_Books,6,6,86,2036,55
Featured,Cygnus_X-1,6,6,141,3453,84
Featured,The_Simpsons_Game,6,6,112,2734,41
Featured,Dermotherium,2,4,91,2107,38
Featured,Walter_de_Coventre,4,5,118,2867,49
Featured,Enceladus,44,10,252,6670,154
Featured,Battle_of_Valcour_Island,9,11,144,3479,80
Featured,Rosendale_Trestle,11,6,89,2151,68
Featured,Disco_Demolition_Night,8,9,163,3959,50
Featured,"Lock_Haven,_Pennsylvania",19,14,230,5334,77
Featured,Pioneer_Zephyr,12,12,111,3223,37
Featured,T%C3%B4n_Th%E1%BA%A5t_%C4%90%C3%ADnh,4,9,227,5556,81
Featured,Cricket_World_Cup,11,12,144,3561,79
Featured,Fort_Ticonderoga,20,10,176,4318,89
Featured,The_Log_from_the_Sea_of_Cortez,5,5,109,3615,44
Featured,Norse-American_medal,10,7,93,2407,29
Featured,Vampire,12,7,336,8793,169
Featured,The_Temple_at_Thatch,2,7,84,2181,44
Featured,Anglo-Zanzibar_War,8,9,133,3474,60
Featured,School_Rumble,2,9,500,6293,157
Featured,Blakeney_Point,12,9,146,4014,74
Featured,USS_Lexington_(CV-2),18,7,302,7425,72
Featured,Windsor_Castle,30,7,404,10706,256
Featured,The_Combat:_Woman_Pleading_for_the_Vanquished,8,6,67,2241,52
