Bin,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References,Subjectivity,Polarity,PagesViews,Revisions
Featured,8,7,192,3971,34,0.4049125,0.036453215,4998,-1
Featured,15,14,229,5705,122,0.404283052,0.104634845,32780,11
Featured,3,9,92,2417,35,0.411386946,0.087591575,8559,6
Featured,4,8,240,5993,69,0.421222748,-0.034331163,127412,49
Featured,13,7,142,3104,70,0.369112762,0.025500382,48603,69
Featured,20,7,90,2680,23,0.367807138,0.058730176,27685,13
Featured,6,5,72,1710,26,0.306523156,0.034389371,41349,16
Featured,5,9,206,5163,137,0.391097571,0.043894473,91195,18
Featured,4,5,133,2947,48,0.336136025,0.032616597,49229,66
Featured,10,8,235,6142,103,0.425173653,0.082008453,4782,4
Featured,6,12,256,6104,127,0.435047528,0.113088227,154755,40
Featured,13,4,117,2431,29,0.372682321,0.025306732,6320,15
Featured,29,9,302,7313,114,0.44321838,0.07907696,972500,183
Featured,5,5,57,1687,24,0.471181587,0.075327999,14808,11
Featured,36,11,396,11689,159,0.422441379,0.0962109,124430,61
Featured,2,6,111,2512,24,0.312241462,0.006206876,3153,3
Featured,7,7,82,2088,30,0.331629682,0.070877436,2863,3
Featured,7,8,250,6508,152,0.440660358,0.018112197,461582,63
Featured,5,6,85,1664,35,0.429647143,0.059207058,6755,5
Featured,6,8,201,5054,152,0.39417044,0.104652564,43979,61
Featured,6,6,104,2398,55,0.303475062,0.019900313,3465,9
Featured,5,7,104,2288,38,0.3795704,0.106694832,3377,-1
Featured,2,5,80,2178,22,0.462949484,0.019927868,22469,7
Featured,13,6,332,7713,87,0.328717951,0.043658258,32942,8
Featured,4,11,75,1994,36,0.345016634,0.126293582,39855,14
Featured,5,8,76,1938,46,0.403287844,0.073539778,4255,3
Featured,16,12,298,5383,94,0.428082688,0.06503781,136832,50
Featured,18,14,254,6898,137,0.318324955,0.04945958,13426,22
Featured,4,6,149,4161,75,0.412096851,0.072038386,64181,12
Featured,16,11,369,7982,125,0.408215075,0.058337291,36621,500
Featured,17,14,459,11163,207,0.417428824,0.066291693,190740,41
Featured,6,6,93,1941,51,0.331032178,0.09069705,33337,40
Featured,3,8,53,1316,44,0.382654153,0.08578902,9210,18
Featured,10,5,249,6227,139,0.398176165,0.099402729,37661,20
Featured,36,17,389,10564,147,0.436943228,0.093672747,522637,65
Featured,2,6,130,2942,30,0.467860838,0.045133559,24725,6
Featured,9,6,119,2668,36,0.414863218,0.09366071,99873,18
Featured,7,5,128,3460,51,0.424323495,0.08708417,56516,32
Featured,28,13,469,12944,143,0.46722759,0.119919918,154596,63
Featured,11,13,176,5665,105,0.444870654,0.122631616,345903,130
Featured,2,13,114,2861,107,0.4408045,0.141356342,266292,33
Featured,7,10,285,6106,135,0.407932261,0.015477922,41862,10
Featured,3,15,352,8500,197,0.398627254,0.144763018,639429,261
Featured,8,6,57,1399,39,0.383645125,0.077770692,6373,11
Featured,28,9,203,5402,105,0.415755249,0.090579787,351626,163
Featured,21,14,248,6088,165,0.377558941,0.092462619,618973,78
Featured,12,9,125,3031,66,0.340948003,-0.023198478,2983,5
Featured,14,9,269,7085,169,0.379719791,0.153546774,2378081,500
Featured,10,11,220,4902,60,0.363316449,0.033571429,84550,8
Featured,6,6,94,2571,31,0.426668293,0.116396863,37031,73
Featured,32,12,288,7087,157,0.369120208,0.067265073,578145,120
Featured,28,9,350,9611,181,0.406623876,0.071599909,522211,148
Featured,18,10,269,7186,129,0.411959339,0.102933959,283539,49
Featured,6,4,119,2889,45,0.320950161,0.047841996,4964,2
Featured,19,11,127,3382,73,0.336158111,0.10021389,100470,86
Featured,9,9,107,3614,42,0.50086729,0.133256345,10377,-1
Featured,12,16,214,5582,130,0.397674918,0.058952814,269083,48
Featured,3,5,73,1614,32,0.463278107,0.030325034,33224,6
Featured,2,6,98,2334,60,0.380814679,0.063478583,16710,9
Featured,8,8,141,3487,55,0.368016543,0.017283025,13584,2
Featured,5,9,172,4324,159,0.346237387,0.050812643,123631,39
Featured,10,7,209,5590,123,0.370725925,0.099365237,15033,27
Featured,12,11,246,7063,138,0.274400306,0.04384229,16018,19
Featured,9,9,407,10628,201,0.381270633,0.05956002,71325,42
Featured,7,10,148,3276,54,0.375919158,0.010770695,10625,6
Featured,9,7,103,2305,16,0.344492011,0.03490329,9858,3
Featured,1,6,73,1939,31,0.357486003,0.040194372,4972,-1
Featured,35,7,485,11931,134,0.389350382,0.063055432,296355,489
Featured,22,10,243,6381,112,0.36791751,0.071738323,339574,74
Featured,7,7,110,2115,41,0.354723912,-0.001068606,26278,32
Featured,17,9,220,5536,137,0.322027466,0.118872729,112629,45
Featured,6,8,175,3920,60,0.429860605,0.035079599,59859,51
Featured,15,13,356,8863,249,0.370049499,0.119227772,212560,71
Featured,36,18,439,9865,317,0.334109103,0.101784379,1252576,257
Featured,14,9,597,14523,196,0.468596381,0.106431207,331778,72
Featured,12,7,135,4353,43,0.430629386,0.061884839,15915,9
Featured,1,6,159,3681,186,0.456949424,0.03504557,112423,55
Featured,8,9,119,3299,31,0.437262111,0.100115482,8280,10
Featured,6,8,110,2215,27,0.243979266,-0.031718501,2919,7
Featured,4,13,170,5318,73,0.404579243,0.096705986,32229,7
Featured,2,9,95,2056,38,0.427878741,0.110481568,6160,1
Featured,2,8,119,3052,54,0.38545428,0.066959972,5793,7
Featured,5,8,113,2470,51,0.423209776,0.136823513,20448,13
Featured,9,7,201,5950,157,0.409249639,0.040042678,203469,34
Featured,10,13,475,11157,351,0.386905179,0.079714037,162364,24
Featured,2,6,102,2142,35,0.429779791,0.087199577,3601,3
Featured,6,9,178,4705,50,0.313061681,0.037830831,7865,4
Featured,5,6,102,2265,37,0.375115484,0.054371947,9646,56
Featured,5,10,204,4961,94,0.423715065,0.051346503,256519,80
Featured,4,7,299,7471,167,0.38184525,0.055948998,18582,14
Featured,15,10,218,5818,137,0.35876804,0.046297438,76821,26
Featured,2,11,60,1453,27,0.523135488,0.027264009,10912,6
Featured,23,17,327,7792,307,0.367280941,0.034589899,2525457,172
Featured,2,9,111,2445,39,0.373437935,0.015596805,3540,4
Featured,12,7,194,4928,107,0.375741012,0.101483648,95946,21
Featured,15,9,177,4662,71,0.388561213,0.077197753,6336,1
Featured,9,7,141,3015,87,0.341316578,0.035420581,19266,42
Featured,3,13,145,3345,75,0.442708213,0.058877105,88400,46
Featured,14,6,197,5649,57,0.430444386,0.117095073,498262,56
Featured,11,7,178,3489,44,0.429728167,0.099249487,114594,35
Featured,13,7,147,3182,63,0.345495372,0.0897092,72575,24
Featured,6,7,129,2714,39,0.257731431,0.058066896,28069,22
Featured,9,5,120,2538,22,0.396327831,0.092207831,6964,3
Featured,5,5,98,2734,30,0.429498503,0.060128638,16777,4
Featured,6,10,341,9848,222,0.396692879,0.070741111,227445,25
Featured,1,6,73,1939,31,0.357486003,0.040194372,4972,-1
Featured,14,10,273,6609,153,0.415231571,0.115661462,28363,7
Featured,8,15,245,5199,72,0.365247158,0.003037327,5683,6
Featured,28,14,458,12181,236,0.307952008,0.045804057,25253,20
Featured,6,7,86,2408,37,0.372081327,0.030212012,7049,12
Featured,30,10,398,10375,384,0.376622661,0.068599398,2305078,229
Featured,11,7,178,3489,44,0.429728167,0.099249487,114594,35
Featured,15,16,345,8374,198,0.435225266,0.061308392,Not Available,24
Featured,8,9,167,4640,109,0.362768319,0.042267766,6365,7
Featured,16,6,394,9764,160,0.437251478,0.111040272,36647,5
Featured,8,6,158,3316,45,0.365870645,0.058978976,4450,39
Featured,17,11,510,12302,246,0.392527579,0.057700773,694119,137
Featured,2,7,73,1569,26,0.413443878,0.000324933,6419,5
Featured,5,8,87,2097,39,0.393362097,0.010862895,2755,5
Featured,19,13,156,3556,88,0.361059243,0.114590308,182000,44
Featured,15,6,168,3739,122,0.342127637,0.129416139,Not Available,87
Featured,12,13,228,6087,147,0.45710373,0.158290448,19951,13
Featured,4,8,127,3635,95,0.424364403,0.036862923,29005,35
Featured,3,12,113,2964,60,0.417402476,0.157036496,7506,26
Featured,25,8,285,7315,190,0.368703085,0.069043153,50076,27
Featured,7,7,120,2473,80,0.32554092,0.027890893,3030,1
Featured,8,7,93,2129,16,0.426764307,0.028091583,6590,7
Featured,6,6,118,2587,58,0.281422884,0.02667504,1951,4
Featured,13,10,220,4908,84,0.356451072,0.079699086,16265,3
Featured,2,6,68,1723,34,0.307236047,0.043403064,2466,2
Featured,8,8,142,3647,57,0.378893882,0.069439122,121027,64
Featured,0,7,90,2539,42,0.482431026,0.193532777,3200,2
Featured,4,6,88,2030,64,0.367123418,0.054189346,19609,5
Featured,16,8,196,5024,67,0.417745453,0.064133873,205377,52
Featured,3,7,104,2420,23,0.435665072,0.019945943,12111,2
Featured,25,8,285,7315,190,0.368703085,0.069043153,50076,27
Featured,6,7,129,2714,39,0.257731431,0.058066896,28069,22
Featured,22,12,296,5550,179,0.434875662,0.094478586,684708,159
Featured,4,7,100,2671,19,0.292509474,0.048678477,2721,5
Featured,8,9,206,5255,92,0.44427888,0.099393683,125380,15
Featured,14,15,293,7597,178,0.368257036,0.068873388,44675,27
Featured,7,5,60,1440,41,0.398451988,0.115052934,6816,9
Featured,48,12,294,6893,220,0.439766025,0.129362564,4278898,159
Featured,4,7,161,3969,58,0.439783055,0.033930612,66904,99
Featured,5,9,176,4346,139,0.386853684,0.056206002,10866,10
Featured,2,9,343,9483,165,0.455350598,0.089026397,71455,18
Featured,4,5,85,2037,41,0.409526368,-0.052464296,55450,19
Featured,11,7,178,3489,44,0.429728167,0.099249487,114594,35
Featured,20,8,217,4896,85,0.354903699,0.078531401,76526,62
Featured,3,5,108,2790,26,0.423510119,0.018305357,6391,-1
Featured,6,6,79,1796,22,0.38279769,-0.012831742,9982,2
Featured,7,7,334,8594,153,0.347264349,0.041419912,8982,5
Featured,6,10,277,6375,86,0.413014096,0.10140652,8914,3
Featured,5,5,65,1415,38,0.34573442,0.002942752,2796,2
Featured,13,7,179,4122,86,0.443044749,0.117310746,3197,4
Featured,10,8,177,4708,70,0.359997176,0.067635786,34514,9
Featured,8,7,207,5370,120,0.364252758,0.042452398,81236,19
Featured,4,9,107,3159,60,0.33763468,0.037605709,30640,9
Featured,22,16,437,9431,129,0.393921064,0.065664397,561975,135
Featured,17,8,227,5176,99,0.342493505,0.042915031,21615,11
Featured,16,9,69,1764,36,0.362572378,0.03701664,2887,5
Featured,3,11,112,3006,92,0.442374922,0.066497097,85953,30
Featured,5,6,114,2729,40,0.369810348,0.071846842,12707,6
Featured,6,6,116,2753,51,0.360029651,0.012644658,6206,8
Featured,7,6,136,2801,25,0.372439955,0.147379429,7030,2
Featured,11,9,257,5984,138,0.389763792,0.105524686,56986,27
Featured,3,9,133,3209,96,0.329258779,0.045068635,80082,57
Featured,20,12,420,11761,273,0.436752896,0.098687767,280090,51
Featured,25,11,367,9075,189,0.457185742,0.122239235,152791,54
Featured,6,8,109,2796,16,0.386839265,0.069417626,15083,-1
Featured,10,7,393,9965,197,0.390645325,0.107515782,29132,18
Featured,2,6,47,1336,28,0.338578977,0.074548174,2329,2
Featured,11,7,123,2665,56,0.388244096,0.012797561,76959,8
Featured,11,14,350,6786,68,0.398024844,0.071321429,9621,3
Featured,14,8,195,5325,78,0.309251268,0.057393953,61368,23
Featured,7,6,82,2815,57,0.439116476,0.043740739,15267,4
Featured,18,10,178,4485,192,0.310659689,0.08532002,122280,249
Featured,9,15,270,6563,133,0.382185377,0.116765074,25036,11
Featured,20,9,267,6872,114,0.263664269,0.022059686,11897,9
Featured,21,12,141,4860,114,0.34025076,0.058413367,74868,19
Featured,27,16,309,7399,162,0.418826832,0.064738088,342885,97
Featured,4,9,106,3309,48,0.434331854,0.056074013,33356,8
Featured,5,6,107,2689,25,0.414584371,0.084917315,45632,26
Featured,16,10,382,10905,147,0.402374974,0.069176839,392544,105
Featured,6,9,175,4617,79,0.501540855,-0.048062813,148431,16
Featured,4,9,271,6198,224,0.385947771,0.095088274,254200,131
Featured,9,12,197,4821,71,0.372161241,0.069631074,9246,7
Featured,13,14,206,4791,113,0.372834655,0.046898719,40300,56
Featured,7,10,118,2906,54,0.415459751,0.066494615,36665,24
Featured,9,8,104,2527,48,0.430192427,0.055687765,25551,21
Featured,3,10,160,3148,50,0.32444676,0.048716842,11912,4
Featured,19,11,386,10867,177,0.437205266,0.118738977,218833,161
Featured,18,9,445,11161,243,0.438492308,0.100780172,344982,62
Featured,62,17,320,7490,145,0.343898347,0.06660485,675018,141
Featured,5,10,127,3242,41,0.484651411,0.144947939,18182,3
Featured,6,7,120,2731,57,0.319904339,0.041911817,15816,19
Featured,12,12,246,6407,124,0.409189204,0.075553306,189683,236
Featured,9,8,111,2380,67,0.384799408,0.106265031,5103,6
Featured,2,8,104,2734,52,0.442389971,0.040572267,137689,20
Featured,10,7,172,4643,68,0.417422544,0.117157136,62827,24
Featured,6,7,84,1925,29,0.333128666,-0.019286363,5028,8
Featured,9,7,102,2460,41,0.36777004,0.071986061,2800,5
Featured,1,6,84,2050,48,0.385919959,0.124707195,8260,-1
Featured,4,6,67,1777,53,0.359774293,0.011248965,42013,8
Featured,4,4,94,2205,39,0.298686198,0.065860012,8790,3
Featured,16,17,257,6018,162,0.377997428,0.127426046,26435,9
Featured,5,8,188,3822,64,0.349964244,0.067386114,4060,5
Featured,18,13,283,7208,171,0.394681246,0.053100403,38522,8
Featured,17,5,152,3037,50,0.415446152,0.110323998,14674,17
Featured,7,7,249,5073,61,0.356886517,0.032386107,47492,41
Featured,17,7,213,4828,91,0.354440978,0.070814549,16209,5
Featured,5,6,124,3101,79,0.362763799,0.070451163,6985,7
Featured,6,10,176,4128,139,0.384185303,0.077292162,486090,71
Featured,14,10,153,3841,73,0.332977725,0.057671117,67677,13
Featured,10,7,319,6731,97,0.415930313,0.087432977,27836,25
Featured,3,4,51,1466,32,0.325200114,0.038479131,72765,34
Featured,3,7,122,2639,70,0.401592406,0.011283858,12445,8
Featured,8,9,199,4707,91,0.344049147,0.030432115,22981,9
Featured,3,8,98,2150,39,0.434714635,0.131833492,3550,7
Featured,12,12,217,4425,197,0.459086552,0.075262016,56760,364
Featured,3,10,164,3712,75,0.434659849,0.032096846,167969,73
Featured,3,7,152,3426,42,0.393528812,0.094404829,3796,7
Featured,5,11,221,5195,90,0.377930773,0.090737332,26540,30
Featured,4,5,62,1430,30,0.348857039,0.079225629,76896,-1
Featured,4,8,194,5174,114,0.377763444,0.082761399,4696,12
Featured,8,7,307,7423,166,0.43736502,0.042131156,418372,88
Featured,18,13,283,7208,171,0.394681246,0.053100403,38522,8
Featured,7,4,74,1974,29,0.438685771,0.131183889,16977,11
Featured,4,6,87,2276,25,0.394792335,0.081577632,49916,111
Featured,3,7,96,2257,43,0.303545818,0.096439063,3745,4
Featured,6,11,100,2426,70,0.369626316,0.033042724,4302,-1
Featured,10,9,192,4456,62,0.345840011,0.058979436,7413,24
Featured,4,6,71,1438,29,0.388860289,0.025219574,4331,4
Featured,2,7,161,4090,116,0.430887323,0.085796941,364367,48
Featured,8,11,176,5176,71,0.355376587,0.092741951,202669,66
Featured,15,10,94,2574,51,0.32047137,0.054428226,9270,5
Featured,1,5,56,1456,45,0.522834458,0.29713405,14188,3
Featured,8,9,102,2711,28,0.417018796,0.14842763,5159,6
Featured,5,12,177,3944,99,0.430323693,0.162981091,28507,17
Featured,5,7,179,4211,105,0.413015873,0.084383876,3476,4
Featured,2,6,80,2337,58,0.329084175,0.108727328,4503,13
Featured,5,7,78,1688,41,0.397084416,0.080673624,24132,199
Featured,27,14,316,8296,157,0.420034047,0.070607236,40707,41
Featured,10,11,217,5563,111,0.380095752,0.074619476,31913,10
Featured,5,9,71,2177,37,0.387189468,0.028738691,6192,6
Featured,5,6,132,3606,75,0.379367913,0.113420815,6917,6
Featured,1,12,148,3681,59,0.410445991,0.131625386,3431,11
Featured,17,10,245,6722,82,0.383908371,0.094691912,8467,3
Featured,7,10,164,4198,99,0.406519841,0.033415007,1025003,92
Featured,12,10,192,4694,61,0.357059249,0.030790633,55956,50
Featured,6,6,89,2568,41,0.377788116,0.160999037,10699,4
Featured,11,7,267,6657,184,0.378014918,0.093052997,20370,41
Featured,10,10,175,4338,71,0.356382049,0.076896003,4857,6
Featured,3,6,150,3489,48,0.341013353,0.159642281,8410,3
Featured,7,6,147,3894,55,0.299091311,0.033037433,3292,8
Featured,6,7,63,1695,27,0.444870382,0.111630592,11197,6
Featured,26,10,265,7218,176,0.37579913,0.040416106,148818,97
Featured,3,8,55,1033,36,0.390072217,0.094930808,3016,4
Featured,5,7,72,1453,43,0.36343254,0.066689096,3502,5
Featured,13,16,293,7525,200,0.439415653,0.08236497,25889,20
Featured,7,8,316,8273,204,0.427771911,0.070200058,Not Available,118
Featured,5,8,332,8546,48,0.441139123,0.037356027,10068,9
Featured,9,11,118,3396,65,0.42393684,0.061634007,267984,64
Featured,31,14,456,10096,162,0.303198208,0.051089955,Not Available,118
Featured,22,9,361,7954,197,0.349032803,0.064417431,82148,29
Featured,11,6,304,7511,132,0.387283064,0.041904895,1093593,62
Featured,5,7,157,3001,42,0.426672907,0.101106334,5652,5
Featured,28,14,297,6598,114,0.405719605,0.056946191,Not Available,178
Featured,12,5,215,5164,152,0.464525911,0.047823458,66944,116
Featured,37,16,290,6039,128,0.321825141,0.084739251,521713,326
Featured,15,13,271,7054,191,0.363740551,0.072995887,442267,72
Featured,16,9,193,4938,63,0.402272115,0.073525026,33276,4
Featured,6,6,53,1672,41,0.368954445,0.011869812,6453,9
Featured,10,7,143,2896,26,0.433965228,0.02716987,113189,23
Featured,9,9,207,6031,133,0.44218391,-0.007276954,237677,37
Featured,23,11,307,7983,142,0.433003746,0.05823942,190999,77
Featured,2,5,113,2693,60,0.458198423,0.123812324,12580,2
Featured,2,6,81,1819,35,0.368513115,-0.000186902,3059,-1
Featured,36,12,294,8368,171,0.376261127,0.083558011,563655,345
Featured,11,9,111,2702,46,0.356912216,0.003879158,36413,11
Featured,6,9,184,4335,64,0.480744525,0.066929313,408283,63
Featured,27,10,340,7631,201,0.354983324,0.071002177,935872,185
Featured,14,13,187,4625,91,0.416677646,0.104115852,100950,57
Featured,13,9,344,8261,216,0.350930534,0.037092669,319715,44
Featured,15,8,110,2820,33,0.295016066,0.052549984,25829,77
Featured,6,10,98,2243,46,0.467568522,0.074704803,30521,33
Featured,1,6,103,2109,47,0.367804747,0.057950291,3153,2
Featured,15,7,236,6057,165,0.383644028,0.110508375,36929,25
Featured,21,9,236,5360,144,0.413725586,0.14004894,25896,34
Featured,16,5,49,1302,24,0.32756212,0.075867188,4006,8
Featured,297,18,337,8821,143,0.408739865,0.06725391,1368876,179
Featured,14,10,165,3853,90,0.38848902,0.015528904,91183,64
Featured,10,10,301,6976,157,0.403253276,0.149763523,1238063,300
Featured,8,10,216,5720,186,0.38889379,0.07775993,35054,35
Featured,5,9,73,1880,34,0.344917172,0.05580404,4286,2
Featured,3,11,112,3006,92,0.442374922,0.066497097,85953,30
Featured,2,7,88,1935,31,0.402281106,0.026301843,4318,7
Featured,11,9,213,5559,138,0.378679658,0.10535266,38920,12
Featured,15,14,444,11030,287,0.418376154,0.099294234,1270141,191
Featured,5,13,187,5279,86,0.35999937,0.071761399,40221,64
Featured,8,13,186,4479,66,0.314535781,0.072187708,9875,11
Featured,8,11,149,3448,43,0.329163447,0.04486757,4904,8
Featured,24,9,331,7876,220,0.29077325,0.103683108,159350,82
Featured,4,9,177,4318,64,0.29117081,0.023484182,10616,10
Featured,46,15,357,8429,181,0.259700175,0.022672426,32933,17
Featured,4,4,94,2049,58,0.425958393,0.080085578,36215,16
Featured,13,12,233,6074,79,0.357608208,0.043102431,454971,76
Featured,30,9,441,10530,236,0.365739021,0.079436826,28730,11
Featured,10,8,322,9864,132,0.37976498,0.048147989,6387,98
Featured,10,8,144,3603,91,0.390070288,0.098635067,3164,1
Featured,9,8,89,2267,84,0.452692747,0.148093246,65107,135
Featured,3,8,90,1722,34,0.427981972,0.137982121,4439,12
Featured,19,7,197,4516,47,0.385581373,0.059129859,167559,43
Featured,6,12,183,4624,68,0.347360095,0.073812343,45606,10
Featured,5,5,59,1403,44,0.425579088,0.039108433,11989,6
Featured,19,7,436,10789,195,0.379166593,0.067575399,575649,167
Featured,7,8,190,4814,59,0.330875887,0.046822167,5546,4
Featured,4,9,54,1238,39,0.432936913,0.150616762,3327,34
Featured,2,6,72,2050,48,0.447322182,0.109643611,6788,8
Featured,28,16,319,6488,207,0.373580213,0.077807703,83829,29
Featured,11,7,205,4966,88,0.30799062,0.033919553,12261,9
Featured,8,6,81,1970,49,0.357723702,0.034811499,5048,-1
Featured,4,8,72,1851,46,0.351239505,0.052992342,3250,4
Featured,10,11,226,5172,64,0.40420788,-0.00424119,285635,103
Featured,19,8,206,4706,128,0.432081165,0.040488036,282942,44
Featured,1,10,56,1087,23,0.44990055,0.11487364,3647,-1
Featured,3,5,39,1153,32,0.480658106,-0.002051899,120289,118
Featured,19,12,152,4045,123,0.30784541,0.109768542,173501,191
Featured,6,7,93,2815,20,0.486929409,0.114878439,12629,3
Featured,18,10,290,7085,134,0.336742581,0.061603737,12981,13
Featured,5,7,130,2944,36,0.348428217,0.040368671,19913,10
